0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,seed,complex_param
0.0,5,0,6,5,0,0.0,4,7,7,2,8.0,6,,2,7,,8,7,6,8,8,8,6,,7,7,8.0,0.0,,7,7,7,8,7,8,7,7,,7,7,7,6,0.0,8,7,2,7,8,6,1,0,7,5,7,8.0,7,8.0,8,7,0.0,,0,8,2,6,8,,0,,1.0,,,,8,33,14
0.0,0,9,0,5,5,,0,9,5,9,10.0,9,,9,0,,0,10,6,10,3,10,9,,8,9,11.0,2.0,,9,10,10,10,10,10,10,10,,8,10,7,8,0.0,10,9,9,9,10,9,9,10,10,10,10,10.0,8,0.0,10,10,11.0,11.0,10,0,10,9,4,,11,11.0,,10.0,,0.0,10,34,14
9.0,7,8,5,7,6,,7,0,7,8,9.0,7,,7,8,,8,8,6,8,9,9,0,,4,6,9.0,0.0,0.0,8,8,8,9,8,8,1,8,1.0,5,7,8,6,,9,8,0,7,0,0,7,8,9,8,8,9.0,8,1.0,0,8,9.0,8.0,0,9,8,7,9,,9,,,0.0,,,8,35,14
,7,0,6,4,8,6.0,0,7,6,7,8.0,7,,7,0,,8,8,1,7,8,8,0,8.0,7,6,,0.0,0.0,7,7,8,8,7,8,7,7,,7,7,2,6,5.0,8,6,7,7,8,6,0,7,5,7,2,8.0,7,,8,5,,,0,8,8,6,8,0.0,8,0.0,,,,,8,36,14
13.0,10,11,10,11,0,,11,11,0,11,12.0,10,,12,12,0.0,11,0,8,12,12,13,0,,11,11,13.0,,,11,12,9,12,12,12,12,4,,0,0,11,11,,0,11,11,11,12,9,11,12,12,12,12,12.0,0,12.0,12,12,0.0,3.0,5,8,12,10,12,13.0,12,13.0,1.0,,,4.0,12,37,14
12.0,9,11,10,9,4,12.0,11,0,10,10,12.0,9,,11,11,,4,12,10,11,12,0,3,0.0,11,8,12.0,,,11,11,0,12,11,11,4,11,0.0,10,11,11,0,,0,11,10,10,0,7,10,11,12,11,11,12.0,10,,12,12,,,2,12,0,10,11,,12,,0.0,9.0,3.0,,11,38,14
14.0,11,11,6,11,13,,11,12,12,12,0.0,11,,11,0,,12,12,10,12,0,0,12,,12,11,0.0,7.0,,12,4,12,0,9,12,12,11,,0,12,12,11,,13,11,11,12,13,12,2,0,13,12,12,13.0,12,13.0,13,9,13.0,14.0,10,12,12,10,10,14.0,0,0.0,,7.0,,,13,39,14
14.0,12,13,9,11,13,,11,12,12,12,13.0,10,,12,13,4.0,0,13,1,0,13,13,11,0.0,0,0,14.0,,,12,12,5,13,12,13,0,12,,12,13,12,0,,6,12,11,0,13,11,12,1,13,13,12,13.0,12,13.0,13,13,0.0,0.0,12,13,7,12,13,14.0,13,11.0,,,,,13,40,14
,8,0,6,8,9,,8,8,1,8,9.0,6,,8,9,,4,0,7,9,9,9,1,,0,7,0.0,,0.0,8,8,0,9,9,9,9,0,8.0,8,9,8,0,,9,7,7,8,9,7,8,9,9,9,8,9.0,8,9.0,9,9,0.0,,8,9,5,7,9,,4,0.0,5.0,,,,9,41,14
0.0,13,13,12,0,14,,13,13,13,0,14.0,0,,13,2,,14,14,12,14,14,14,13,,13,12,15.0,0.0,,13,14,14,14,13,0,13,14,1.0,13,6,13,12,9.0,7,14,13,8,4,12,13,14,14,13,14,14.0,5,15.0,14,14,15.0,0.0,14,0,0,11,14,,15,0.0,,,,,14,42,14
0.0,10,10,9,10,0,11.0,11,10,10,10,12.0,9,0.0,10,0,,11,11,10,11,11,12,0,1.0,5,10,12.0,12.0,,11,11,11,0,8,11,11,8,0.0,1,0,10,11,,12,11,9,10,6,10,11,11,12,11,11,0.0,8,12.0,11,11,12.0,,11,12,12,10,12,,11,,0.0,,,8.0,11,43,14
8.0,5,5,5,0,7,,0,5,6,6,6.0,4,,6,6,,6,6,4,6,6,7,5,,6,5,2.0,,,6,6,6,1,6,3,6,6,6.0,5,0,5,5,,7,6,6,6,6,5,6,3,3,0,0,7.0,4,7.0,6,6,7.0,8.0,0,0,6,0,7,8.0,7,8.0,,,0.0,,0,44,14
9.0,2,0,6,6,8,,7,5,7,0,8.0,7,,7,8,,8,8,0,8,8,8,7,,7,6,9.0,,,7,7,1,8,7,8,8,0,,6,8,0,7,,8,7,2,0,0,6,7,0,8,7,7,8.0,0,9.0,8,8,9.0,9.0,8,8,5,7,8,,8,9.0,,,9.0,0.0,7,45,14
2.0,4,5,3,5,6,,4,5,5,0,0.0,4,,4,6,,5,1,3,5,0,3,5,,0,1,6.0,,,5,5,5,6,5,0,6,4,,0,6,4,0,,6,2,0,4,6,4,5,6,6,5,5,6.0,5,6.0,6,6,7.0,7.0,6,0,6,5,6,0.0,1,7.0,,7.0,,,6,46,14
11.0,1,9,8,8,0,,9,9,8,4,10.0,9,,0,10,,10,0,6,0,10,10,9,,8,7,11.0,,0.0,9,9,9,10,9,10,9,9,,0,9,8,7,,7,9,9,9,10,8,9,10,10,9,0,10.0,9,0.0,10,10,11.0,11.0,10,10,10,5,3,0.0,0,11.0,,9.0,10.0,7.0,9,47,14
8.0,6,7,5,6,0,,7,0,6,0,8.0,6,,0,7,9.0,0,7,5,7,8,7,7,,7,6,8.0,,,2,4,1,0,7,8,0,7,0.0,7,7,6,6,,8,7,7,6,7,6,0,7,8,7,7,8.0,3,8.0,8,0,8.0,9.0,7,8,8,6,8,9.0,5,9.0,,3.0,,,7,48,14
8.0,6,7,3,6,2,,7,7,6,7,0.0,6,,6,8,,7,7,0,7,7,8,4,,6,5,5.0,,,7,7,6,8,7,7,7,6,0.0,6,7,0,6,,7,7,7,0,7,6,0,0,7,0,6,3.0,0,7.0,8,7,0.0,8.0,7,8,7,5,8,2.0,4,,,,,,5,49,14
9.0,7,8,6,7,8,,7,0,7,7,9.0,5,,8,8,0.0,0,0,6,8,8,9,8,,0,7,9.0,,,8,8,8,8,8,8,3,8,9.0,0,7,8,7,,9,7,0,7,3,6,8,8,9,8,2,9.0,8,9.0,0,8,10.0,10.0,0,0,9,7,9,,6,10.0,,,10.0,,9,50,14
0.0,10,9,10,11,12,,11,11,11,10,12.0,6,,11,0,9.0,4,12,5,12,12,0,7,,9,0,11.0,,0.0,11,12,0,12,11,12,12,11,,10,11,9,10,0.0,0,11,10,10,12,0,11,11,12,11,11,12.0,11,12.0,11,12,10.0,,12,0,12,11,12,,12,,,,9.0,,12,51,14
8.0,5,0,0,4,6,,5,0,5,6,7.0,5,,6,7,,7,7,0,6,6,7,6,,1,5,0.0,,,6,6,6,7,6,6,4,3,,4,6,5,5,,7,6,6,6,6,0,0,7,7,6,6,7.0,1,8.0,6,6,8.0,8.0,6,5,0,0,7,0.0,7,8.0,4.0,,,1.0,6,52,14
0.0,6,7,0,0,8,1.0,0,7,5,6,9.0,6,,6,0,,0,8,0,8,8,8,8,,1,7,9.0,,,8,6,8,1,0,8,8,8,,7,8,7,7,5.0,8,7,7,7,8,0,0,8,8,8,7,8.0,8,8.0,8,8,9.0,7.0,8,8,8,7,9,,9,,,8.0,,,8,53,14
0.0,11,13,13,12,14,11.0,13,13,6,0,10.0,12,,13,14,,14,14,1,14,14,12,13,,12,13,14.0,1.0,,13,9,14,14,0,14,14,0,,13,14,13,0,,14,13,13,12,14,0,14,14,14,13,13,14.0,14,0.0,14,0,15.0,0.0,14,14,14,0,15,,14,,,,,13.0,12,54,14
,8,9,8,0,10,0.0,9,9,9,6,0.0,7,,6,0,,0,9,0,10,9,10,9,,8,7,10.0,,8.0,9,6,9,10,8,10,9,9,0.0,9,0,9,7,,10,9,8,8,10,8,9,9,0,9,9,10.0,9,10.0,10,9,0.0,1.0,9,10,10,1,10,,6,,,,,,5,55,14
11.0,9,9,8,0,10,8.0,0,9,0,8,10.0,9,,8,10,10.0,10,10,8,9,0,10,0,,9,8,0.0,,,9,10,9,10,4,9,0,9,,7,9,6,0,,10,9,9,9,10,0,9,10,10,9,9,7.0,9,11.0,10,10,11.0,11.0,10,10,10,8,10,0.0,8,7.0,,,,,7,56,14
8.0,6,6,6,6,4,,6,0,5,7,7.0,6,,6,7,,0,7,6,7,7,7,7,,6,5,8.0,,7.0,7,7,2,7,0,4,7,7,,0,6,5,6,,4,0,0,6,7,5,6,7,7,5,6,0.0,1,8.0,7,7,8.0,8.0,0,7,7,0,3,,7,0.0,,,,,7,57,14
13.0,11,12,10,10,12,0.0,0,11,11,6,12.0,8,11.0,10,0,0.0,0,10,10,12,12,12,1,7.0,11,11,1.0,0.0,,4,0,12,12,12,12,7,11,,11,12,11,9,,12,11,11,11,12,10,12,12,12,11,11,12.0,0,13.0,13,12,0.0,13.0,12,2,12,11,13,13.0,12,13.0,,,0.0,,9,58,14
9.0,13,13,12,12,14,,0,13,13,13,14.0,11,0.0,4,0,,12,14,0,5,14,14,13,0.0,11,12,15.0,13.0,,13,13,14,14,10,14,0,14,,12,14,13,12,5.0,14,4,13,13,14,13,13,0,14,14,13,14.0,0,15.0,14,14,15.0,15.0,14,3,14,13,0,,14,0.0,,,,,14,59,14
13.0,10,11,11,8,12,,11,10,10,11,12.0,10,0.0,9,3,,2,11,0,12,11,12,0,0.0,11,9,4.0,,,10,11,11,12,11,11,11,11,,11,11,0,10,13.0,7,11,0,10,0,10,7,12,0,11,11,12.0,2,12.0,12,12,12.0,0.0,11,12,10,11,12,13.0,12,13.0,,,,,0,60,14
,0,7,6,7,9,,8,1,7,8,8.0,5,1.0,8,9,,9,8,7,8,8,9,7,,0,6,0.0,0.0,,8,7,8,8,3,8,8,0,,8,8,8,6,0.0,2,8,7,2,9,7,8,8,9,0,8,9.0,8,9.0,9,8,0.0,,4,9,0,7,9,9.0,2,0.0,,,,,8,61,14
,9,10,9,7,11,,10,10,10,10,11.0,9,,10,11,10.0,11,11,8,0,11,0,10,,0,0,,,,8,10,10,7,10,11,3,10,,9,10,9,10,0.0,11,10,10,0,11,10,10,10,11,7,0,11.0,10,0.0,11,0,7.0,,11,11,11,0,7,11.0,11,11.0,,,,9.0,10,62,14
8.0,5,5,0,5,7,,5,1,1,6,7.0,3,,6,7,,3,6,4,6,7,7,0,,6,5,0.0,0.0,,6,3,6,6,2,6,5,5,,6,6,6,4,0.0,7,5,6,6,7,0,6,6,7,6,6,7.0,6,7.0,0,6,7.0,8.0,0,2,6,5,7,8.0,0,8.0,,,,0.0,7,63,14
9.0,7,5,7,8,6,,8,8,8,8,9.0,8,,8,9,,0,9,7,9,9,9,0,0.0,8,6,10.0,,,8,9,8,9,8,9,9,8,,0,8,0,7,0.0,9,0,8,6,1,3,0,9,0,9,8,9.0,8,10.0,9,9,10.0,10.0,8,4,0,7,9,,9,10.0,,,,,9,64,14
10.0,8,8,5,2,9,,8,4,8,9,9.0,7,,8,9,,0,8,6,8,0,9,8,,8,7,9.0,0.0,,8,8,9,9,2,9,9,7,,8,9,4,6,,9,7,7,8,9,7,8,9,0,8,8,9.0,9,5.0,9,0,0.0,0.0,8,9,0,0,9,10.0,0,10.0,,10.0,,,3,65,14
7.0,5,5,0,4,6,,3,0,4,5,6.0,2,,5,6,,6,6,4,5,5,6,5,,4,4,6.0,,0.0,5,5,5,6,5,5,0,0,0.0,4,6,5,3,,1,1,0,4,6,0,5,6,6,5,5,6.0,2,6.0,6,6,7.0,2.0,5,0,0,5,6,2.0,6,7.0,,,,,5,66,14
5.0,6,3,7,6,9,,8,8,8,0,3.0,7,5.0,8,2,,0,8,7,9,8,9,8,,0,7,9.0,,,8,8,8,9,8,7,8,0,,7,8,8,7,0.0,0,8,7,7,9,7,8,0,8,8,4,9.0,8,9.0,9,0,9.0,0.0,8,9,9,2,9,,9,,0.0,,,,9,67,14
10.0,8,8,0,7,0,,8,8,8,9,9.0,7,0.0,8,3,,9,8,7,9,9,10,9,,8,7,10.0,,8.0,6,9,8,0,9,9,8,8,0.0,8,1,8,0,,9,8,1,8,9,6,8,9,9,9,9,0.0,8,9.0,9,3,10.0,10.0,8,3,5,3,9,0.0,9,10.0,0.0,,0.0,,9,68,14
8.0,0,9,8,9,10,,10,10,10,0,11.0,9,,7,0,,10,9,9,10,10,7,10,,10,8,11.0,,,10,10,0,11,10,11,0,10,,9,3,0,9,11.0,8,10,9,9,3,9,10,0,10,10,4,11.0,10,12.0,11,0,11.0,12.0,10,0,11,9,11,12.0,8,12.0,,,0.0,,10,69,14
4.0,5,0,0,6,8,,0,7,0,7,8.0,6,5.0,7,8,,8,8,3,8,8,0,7,,7,6,9.0,7.0,,0,8,7,8,8,8,8,7,,7,8,7,7,,8,8,0,7,8,0,7,1,8,8,7,8.0,8,9.0,3,8,9.0,9.0,7,8,0,6,9,,8,8.0,,,,,0,70,14
9.0,7,7,6,0,8,,7,8,7,6,8.0,6,,7,8,,8,8,5,8,8,5,7,,4,0,9.0,,0.0,8,7,7,8,0,8,8,7,,7,7,0,3,,8,7,7,7,8,6,7,2,2,7,7,8.0,0,9.0,8,8,8.0,0.0,0,8,0,6,8,1.0,0,9.0,,,,,8,71,14
11.0,8,9,6,0,9,,8,9,6,8,5.0,7,,0,9,0.0,9,9,7,0,9,0,8,,8,7,10.0,,,9,1,9,10,9,9,0,8,0.0,8,9,8,7,0.0,9,9,8,3,10,8,9,0,9,9,8,9.0,8,11.0,10,9,10.0,11.0,9,9,3,0,10,11.0,1,11.0,,,,10.0,9,72,14
0.0,5,0,6,6,7,,7,3,7,7,8.0,5,,0,7,,3,7,4,7,7,7,6,0.0,6,6,8.0,5.0,,7,0,7,8,6,7,7,0,,6,2,5,6,,8,7,6,7,7,6,7,7,8,3,0,8.0,7,8.0,0,2,8.0,0.0,7,8,8,6,8,,2,,,8.0,,0.0,7,73,14
8.0,6,7,5,6,7,,6,0,5,7,8.0,5,,6,7,,2,0,4,7,7,7,7,,7,0,8.0,,,6,7,7,7,7,7,7,6,,6,2,0,6,7.0,4,6,5,6,0,3,3,7,7,7,6,7.0,7,0.0,7,7,4.0,8.0,7,8,7,0,8,0.0,2,8.0,,0.0,0.0,,7,74,14
10.0,5,0,7,8,9,,0,8,8,8,7.0,6,0.0,7,9,,9,6,8,9,9,0,8,,8,7,9.0,,,9,0,9,3,6,9,9,8,,8,0,8,8,,9,8,8,8,9,5,8,9,9,8,0,9.0,0,7.0,9,9,0.0,10.0,9,9,9,7,9,10.0,5,0.0,,,,,9,75,14
13.0,11,12,10,11,12,,5,11,11,12,12.0,9,,8,12,,12,0,11,10,12,7,11,,11,10,7.0,,,11,0,0,12,12,12,0,11,,11,12,11,10,,0,9,0,11,12,11,11,12,9,8,11,12.0,12,12.0,12,12,0.0,13.0,0,12,12,10,12,12.0,12,0.0,,,0.0,,11,76,14
4.0,7,5,3,7,8,,5,0,7,8,9.0,6,0.0,4,9,,8,8,6,8,8,9,0,,6,7,9.0,,,0,8,8,9,8,8,8,8,,7,8,7,8,,8,0,7,7,0,7,0,8,9,8,8,9.0,8,9.0,9,8,1.0,,8,9,8,8,0,9.0,0,9.0,,,,0.0,8,77,14
1.0,0,6,5,5,0,,0,6,6,0,0.0,6,,6,7,0.0,6,7,4,7,6,7,6,,5,3,7.0,,,6,0,6,7,6,4,6,3,,5,6,5,5,,3,6,6,5,7,5,0,6,7,6,3,7.0,6,7.0,7,0,8.0,6.0,6,7,7,0,7,,7,8.0,8.0,,,,7,78,14
7.0,4,5,3,0,6,,4,2,5,5,6.0,4,,0,5,,5,0,3,5,2,5,2,0.0,0,5,6.0,,,5,5,5,0,5,5,5,5,,5,5,1,0,,6,4,4,4,6,4,2,5,6,5,0,6.0,5,6.0,6,6,6.0,7.0,5,6,6,1,6,7.0,4,7.0,0.0,0.0,,,6,79,14
11.0,9,0,9,7,10,0.0,2,10,8,9,11.0,8,0.0,2,10,,10,10,9,11,10,0,10,,10,0,11.0,7.0,,10,10,10,11,10,8,0,10,,9,0,9,9,,11,10,9,9,10,0,10,1,0,8,9,3.0,10,12.0,11,10,12.0,12.0,10,11,11,9,11,,11,12.0,,0.0,,,10,80,14
,4,5,5,3,6,,0,0,5,5,6.0,4,,5,5,,0,6,1,6,0,3,5,,5,0,6.0,,,5,5,0,6,5,6,6,5,,4,6,4,4,,3,5,4,5,6,2,5,1,6,5,0,6.0,5,6.0,6,5,6.0,0.0,5,6,6,5,0,,6,0.0,6.0,,1.0,,3,81,14
