,Unnamed: 0.1,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,betha,seed,EPH,corr
10,10,10,0,1,1,1,1,1,1,1,0,0,1,2,1,1,1,0,2.0,1,1,1,1,2,1,1,1,1,1,1,0,0,1,2,2,1,1,1,0,2,2,1,0,1,1,2.0,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,0,1,1,2,1,1,1,2.0,2.0,0,1,0.5,10,1.0378947368421052,-0.1479535210536284
11,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2.0,1,1,1,1,2,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2,1.0,2,0,1,1,0,1,1,1,2,1,1,0,1,1,1,1,1,1,2,0,1,1,1,1,1,2,2,0.0,1.0,1,1,0.5,11,1.031746031746032,0.0187637872876996
12,12,12,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1.0,1,1,1,2,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1,1,1,0,0,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,2,0,1,1,2,1.0,2.0,2,1,0.6,12,1.0176991150442478,-0.1375590054874493
13,13,13,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0.0,2,1,1,1,2,1,1,2,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2.0,1,2,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,2.0,1.0,1,0,0.6,13,1.0332480818414322,-0.1932248823022835
14,14,14,1,1,2,1,0,1,2,1,1,1,0,2,0,1,1,1,1.0,1,1,1,2,1,0,1,2,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2.0,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,2,1,1,1,1,1,1,1,0.0,2.0,2,1,0.4,14,1.0823045267489713,-0.2612649713794267
15,15,15,0,1,1,1,2,0,1,1,1,1,1,1,0,1,1,1,1.0,0,1,1,1,1,1,1,2,1,1,0,0,2,1,0,1,1,1,1,2,1,2,1,1,1,1,2.0,1,1,1,0,1,2,1,1,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,2,2,2,2,0.0,0.0,2,1,0.4,15,1.0707456978967496,-0.2015583379851193
16,16,16,2,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,0.0,2,1,1,1,1,1,1,1,1,1,1,1,2,0,0,1,2,1,2,1,1,2,1,1,0,1,2.0,1,1,1,1,2,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,0,1,1,0,0,2,2.0,2.0,1,1,0.5,16,1.0472813238770686,-0.3483920418379738
17,17,17,1,1,1,1,1,1,0,1,1,1,2,2,1,2,1,0,2.0,1,2,1,1,1,0,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,2,0,1,1,1,2.0,0,0,1,1,1,1,1,1,2,1,1,2,1,0,2,1,1,1,1,1,2,1,1,1,0,1,1,2.0,2.0,2,1,0.5,17,1.0246085011185682,-0.2809834157011952
18,18,18,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1.0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2.0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,0,1,1.0,2.0,1,1,0.6,18,1.019830028328612,-0.2826252493637943
19,19,19,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1.0,2,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,2,1,0,1,1,1.0,2,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2.0,1.0,2,0,0.5,19,1.0346820809248556,-0.2805684530926218
20,20,20,2,1,1,1,1,1,2,1,1,0,1,2,1,1,1,0,0.0,1,2,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,2,1,1,2,1,0,1,1,2.0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,0.0,1.0,1,1,0.6,20,1.0462287104622872,-0.1721921509295975
21,21,21,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,2.0,2,1,1,1,1,2,1,2,1,1,2,2,2,1,1,1,2,1,0,2,1,1,1,1,1,1,1.0,0,1,1,1,0,1,2,2,1,1,1,1,0,1,1,1,0,2,1,0,1,1,2,1,2,1,1,1.0,0.0,0,0,0.5,21,1.0543478260869563,-0.172477148279959
22,22,22,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,2.0,1,0,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,2,0,1,0,1,2.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,2.0,2.0,1,1,0.5,22,1.029776674937965,-0.4515792728299768
23,23,23,2,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,2.0,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,1,1,1,1,1,1,2,0,0,1,1,2.0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2.0,2.0,0,1,0.6,23,1.0414364640883975,-0.3950496709048197
24,24,24,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1.0,0,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,0,1,1,1,2,1,1,1,1,1.0,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,0,1,1,1,1,2,1,2.0,2.0,0,1,0.6,24,1.0277777777777777,-0.3201007169573184
25,25,25,1,1,1,1,0,1,2,1,0,1,1,1,1,2,1,0,2.0,1,1,1,1,1,1,0,1,1,1,1,0,2,1,1,2,1,2,1,1,1,2,1,1,1,1,2.0,0,1,1,1,1,1,0,1,1,1,1,1,1,2,2,2,1,0,0,1,1,1,1,1,2,1,1,2.0,1.0,2,2,0.4,25,1.075221238938053,-0.3667168511701794
26,26,26,2,1,1,1,1,1,0,1,1,1,1,1,1,2,1,2,2.0,0,1,1,1,1,1,1,1,1,1,2,2,2,1,1,0,1,1,1,1,2,2,1,1,1,1,2.0,1,0,1,1,0,1,1,1,2,0,1,0,1,1,2,1,1,1,0,1,2,0,2,1,0,1,1,1.0,1.0,2,1,0.5,26,1.0483193277310925,-0.3340169297133315
27,27,27,2,1,0,1,1,1,1,2,1,1,1,1,1,0,1,1,2.0,1,1,0,1,1,1,2,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1.0,0.0,2,1,0.4,27,1.0712589073634204,-0.2000671412669968
28,28,28,1,0,1,0,1,0,1,1,1,1,1,1,0,2,1,1,1.0,1,1,1,1,1,0,0,2,1,1,1,2,1,2,1,0,1,1,1,1,1,2,1,1,1,1,2.0,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,2,1,1,1.0,2.0,1,1,0.5,28,1.0551558752997603,-0.3602759885549325
29,29,29,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,1,1,1,0,1,2,0,0,1,1,0,2,1,1,1,1,1,0,1,0,1,1,1,0,1,1,2.0,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,0,1,1,2,1,0,2,2.0,2.0,2,1,0.5,29,1.0246913580246917,-0.3452206033599047
30,30,30,2,1,0,1,1,1,2,1,1,1,1,1,0,1,1,1,2.0,0,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,0,2,1,1,1,1,1.0,2,0,0,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2.0,1.0,2,1,0.5,30,1.0369458128078817,-0.4839513324624379
31,31,31,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,0.0,2,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,2,1,1,1,1,1,0,2.0,1,1,0,1,2,1,1,1,1,1,1,2,1,1,0,2,1,1,1,1,1,1,1,2,2,1,1,2.0,1.0,1,2,0.6,31,1.0417633410672853,-0.1598551765983168
32,32,32,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,2.0,1,1,0,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0.0,2,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,0,1,1,1,1,1,2,1,1,0.0,1.0,1,1,0.5,32,1.0343007915567282,-0.2796632365744045
33,33,33,1,1,1,1,1,1,2,0,1,1,1,1,1,2,0,1,2.0,1,0,1,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,0,2.0,1,1,1,1,2,1,1,1,1,2,1,1,1,0,2,1,1,0,1,1,1,1,0,0,1,1,1,2.0,1.0,0,1,0.4,33,1.044496487119438,-0.2169074399179814
34,34,34,2,1,1,1,1,2,2,1,1,1,1,0,1,2,1,2,2.0,1,0,1,0,1,1,1,1,1,1,1,2,0,1,1,1,0,1,0,1,2,2,1,1,1,1,2.0,2,1,1,1,2,2,1,2,2,1,1,2,2,1,2,2,1,1,1,1,2,1,2,1,0,0,1,2.0,2.0,2,1,0.5,34,1.0335195530726258,-0.2960433774582467
35,35,35,2,2,1,1,1,2,2,1,1,1,1,0,1,2,1,0,2.0,2,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,0,1,2,1,1,2,1,1,1,1,1.0,2,1,1,1,2,1,1,1,2,1,1,0,0,1,1,2,1,1,1,0,0,1,1,2,1,2,1,2.0,0.0,0,1,0.5,35,1.0472727272727274,-0.2466989816532371
36,36,36,1,1,1,1,1,0,0,1,1,0,1,2,1,1,2,2,2.0,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,0,1,2,1,0,2,1,0,1,1,3.0,0,1,1,1,1,1,1,2,2,1,1,0,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2.0,2.0,2,1,0.5,36,1.05,-0.2961177355622308
37,37,37,2,1,1,0,1,1,1,1,0,2,1,1,1,2,1,0,2.0,1,1,1,2,1,0,1,1,1,1,1,1,2,2,1,1,1,2,0,1,1,2,1,1,1,0,1.0,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,0,0,1,1,2,0,1,1,2,2.0,1.0,2,1,0.4,37,1.0589430894308942,-0.3052208935625531
38,38,38,2,1,0,1,0,1,2,1,1,1,1,1,1,0,1,1,2.0,2,2,1,1,1,1,0,2,1,1,1,2,2,1,1,1,0,1,1,1,1,1,1,1,1,1,2.0,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0.0,1.0,1,0,0.5,38,1.0402010050251256,-0.2899521868005928
39,39,39,2,1,1,1,0,2,1,1,1,0,1,1,1,0,1,1,2.0,1,1,1,0,1,2,1,2,1,1,2,1,1,1,0,1,1,1,1,1,1,2,1,1,0,1,2.0,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,2.0,2.0,1,1,0.5,39,1.0360824742268042,-0.3423802831170525
40,40,40,1,1,1,1,1,1,2,0,1,1,1,1,0,1,1,1,1.0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,2,1,1,1,1,1.0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0.0,1.0,1,2,0.6,40,1.018918918918919,-0.2508699924497373
41,41,41,1,1,1,0,1,1,2,1,1,1,1,1,0,1,1,1,2.0,1,1,1,1,1,1,0,1,1,0,1,2,2,1,1,1,1,1,0,1,1,2,1,1,1,1,2.0,1,1,1,1,1,1,0,1,1,2,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,2,1.0,1.0,2,1,0.4,41,1.0456730769230769,-0.4968164369278615
42,42,42,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,2.0,1,1,1,0,0,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1.0,1,1,1,1,1,1,1,0,1,1,1,2,1,1,2,2,0,1,1,1,1,1,1,1,1,1,1,0.0,1.0,1,0,0.6,42,1.0244648318042813,-0.1997093643400976
43,43,43,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,0.0,0,2,1,1,0,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,2.0,1,2,2,1,2,0,2,0,1,2,1,1,1,2,0,0,1,2,1,1,0,1,0,2,0,1,1,3.0,2.0,2,1,0.4,43,1.0729166666666667,-0.2672776826190532
44,44,44,1,1,1,0,1,1,2,1,1,1,1,1,1,2,1,1,1.0,2,1,1,0,2,0,0,1,1,1,1,1,1,1,1,1,1,2,0,2,1,2,1,1,1,1,1.0,2,0,1,1,2,1,1,1,2,1,1,0,1,1,2,0,1,1,1,1,2,1,1,0,1,2,2,,2.0,2,1,0.4,44,1.0521042084168335,-0.3146576295838813
45,45,45,2,1,1,0,1,1,2,1,1,1,1,1,1,1,0,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,2,1,1,1,1,1.0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,2,1,0,1,1,2.0,2.0,2,1,0.6,45,1.0167597765363128,-0.3278051817260474
46,46,46,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,0,0,1,1,2,1,2,1,1,0,2,1,1,2,2,1,1,2,1,1,2,1,0,1,1,2.0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,0,1,0,0,1,1,1,1,1,1,1,0,1,1.0,0.0,2,2,0.5,46,1.055421686746988,-0.1371349975662759
47,47,47,2,1,1,1,1,1,0,0,0,1,2,1,1,2,1,1,2.0,2,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1.0,2,1,1,1,1,1,1,0,2,1,1,1,1,2,2,0,1,1,1,1,1,1,1,2,2,2,2,0.0,0.0,1,2,0.6,47,1.0356394129979036,-0.259476664694926
48,48,48,0,1,1,1,1,2,0,1,1,1,2,2,1,2,1,2,2.0,2,2,1,1,2,2,1,2,1,1,2,1,0,1,2,1,1,0,2,1,1,2,1,2,1,1,2.0,2,1,1,1,0,1,1,0,1,1,1,2,1,2,2,2,1,2,1,2,0,1,1,2,0,2,0,2.0,2.0,1,1,0.4,48,1.0419463087248322,-0.3677115167759901
49,49,49,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,2.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,2.0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,2,1,1,1,1,2,1,1,1,1,1,0,1,2.0,1.0,2,1,0.6,49,1.0268817204301075,-0.3758843898407683
50,50,50,2,1,0,1,0,0,2,1,1,1,1,0,1,1,2,2,2.0,1,1,1,2,1,0,2,1,1,1,1,1,2,1,2,1,0,1,1,1,2,2,1,1,1,1,2.0,2,1,1,1,0,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,0,0.0,2.0,1,1,0.4,50,1.064516129032258,-0.1913076812382814
51,51,51,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,2,0.0,2,1,1,1,0,1,1,1,1,1,2,0,2,1,1,2,1,1,1,1,0,1,1,2,1,1,2.0,1,1,1,1,2,1,1,1,0,2,1,2,1,0,2,1,0,1,1,1,1,1,1,1,1,0,2,2.0,2.0,0,1,0.6,51,1.0264900662251657,-0.1580493906810169
52,52,52,2,1,1,1,1,1,1,1,2,1,1,0,1,0,1,1,1.0,2,1,1,2,1,2,0,2,1,1,1,0,2,2,2,0,0,2,0,1,1,2,1,1,1,1,2.0,2,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,1,2,1,1,1,1,2,1,1,0,2,2.0,2.0,2,1,0.5,52,1.0457875457875458,-0.2987383485149668
53,53,53,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,2.0,1,1,1,1,1,0,1,2,0,1,2,2,0,1,1,1,1,1,1,1,0,1,1,1,1,1,2.0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,2,2,1,2,1,2.0,2.0,1,1,0.5,53,1.0353260869565215,-0.3108335171257384
54,54,54,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,2.0,0,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2.0,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,2,1,2,1,2,0,1,1,1,1,0,1,2.0,2.0,2,1,0.5,54,1.0297029702970295,-0.330672119564985
55,55,55,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2.0,1,1,1,1,1,1,1,2,1,0,1,2,0,1,1,1,0,1,0,1,0,1,0,1,1,1,2.0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,2,1,2,1,1,1,2,2.0,0.0,1,1,0.5,55,1.026954177897574,-0.2875657490491476
56,56,56,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,2.0,1,1,1,1,2,0,1,0,1,1,1,1,2,1,1,1,1,0,1,1,1,2,1,1,1,1,2.0,1,1,1,1,1,1,1,1,2,1,1,0,1,0,2,1,1,1,2,1,0,1,0,2,1,1,1,2.0,1.0,1,1,0.5,56,1.0209424083769634,-0.203443818310704
57,57,57,1,0,1,1,1,0,1,1,1,1,1,0,1,2,1,2,2.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,2,1,0,1,1,1.0,1,1,1,1,0,1,1,2,2,1,1,1,0,1,0,1,1,2,2,1,1,1,1,2,1,1,1,1.0,0.0,2,1,0.6,57,1.0244498777506112,-0.1948321464489386
58,58,58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,2,1,1,1,0,1,0,1,0,1,1,1,2,1,1,0,0,2,0,1,0,1,1,1,1,1,2.0,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2.0,2.0,2,1,0.4,58,1.0492610837438423,-0.3649062528913966
59,59,59,0,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1.0,1,1,1,1,1,1,0,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,0,0,1,1,0,0,1,1,2,0,1,1,1,0,2,1,1,1,1,1,0,1,2,0,1,1,1,2.0,2.0,2,1,0.5,59,1.0310077519379846,-0.3399173638385185
60,60,60,1,1,1,1,1,1,2,1,1,1,0,2,1,2,1,0,2.0,0,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,0,0,2,1,1,2,1,0,1,1,2.0,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,0,1,1,1,1,0,1.0,0.0,1,1,0.5,60,1.0352422907488987,-0.1689558289037267
61,61,61,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,1,0,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,2,1,0,2.0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1.0,2.0,2,1,0.6,61,1.0284090909090908,-0.2846442892336922
62,62,62,2,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,2.0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,2.0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,2,1,2,1,1,1,2,2.0,2.0,2,1,0.6,62,1.0167597765363128,-0.3074649172124531
63,63,63,0,1,1,1,1,1,1,1,2,1,1,0,1,2,0,1,2.0,0,1,0,2,1,2,1,2,1,1,1,2,2,1,2,0,2,1,2,1,2,2,2,1,1,1,1.0,0,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,0,2,1,2,1,1,1,1,2,0,2.0,2.0,1,1,0.4,63,1.066189624329159,-0.1866292816332556
64,64,64,2,1,1,1,1,2,2,1,0,1,0,2,1,2,1,2,0.0,1,1,1,1,1,1,1,1,1,1,2,1,2,2,0,2,1,0,2,1,1,0,1,1,1,1,1.0,2,2,1,1,0,1,1,0,1,1,0,1,1,2,2,1,1,2,2,1,2,1,1,2,0,2,2,2.0,1.0,2,1,0.4,64,1.0605042016806725,-0.3624587398991578
65,65,65,2,0,1,1,1,1,0,1,1,0,0,2,1,1,1,1,2.0,1,1,1,1,1,1,1,2,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1.0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,0,2,1,1,1,1,1,1,0.0,1.0,1,1,0.6,65,1.0364963503649636,-0.263369339246493
66,66,66,2,2,2,1,1,1,2,1,1,1,2,1,1,0,1,2,0.0,2,1,1,0,0,1,1,2,1,1,0,1,2,1,1,1,2,1,1,1,1,2,0,1,1,1,2.0,2,1,1,1,2,1,1,0,2,2,2,1,1,2,2,1,0,1,1,1,1,1,1,1,1,1,2,2.0,2.0,2,0,0.4,66,1.074410163339383,-0.2733195404499106
67,67,67,2,1,1,1,1,2,2,0,1,0,1,1,1,1,1,1,2.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,2.0,2,0,1,1,1,1,1,2,1,0,1,2,1,1,2,1,1,2,1,1,1,1,2,0,1,0,1,2.0,1.0,1,0,0.5,67,1.029126213592233,-0.3271744347159817
68,68,68,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1.0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,2.0,1.0,1,0,0.6,68,1.009493670886076,-0.2168718730003787
69,69,69,2,1,1,1,1,1,1,1,1,0,1,2,0,1,1,2,1.0,2,1,1,0,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1.0,1,1,1,1,1,0,1,1,1,1,0,0,0,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2.0,1.0,0,1,0.6,69,1.034653465346535,-0.2128150826353017
70,70,70,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0.0,1,1,1,2,1,1,0,0,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2.0,2,1,1,1,1,1,1,1,0,1,1,2,1,2,1,0,0,1,1,1,1,1,1,1,2,2,2,1.0,0.0,1,1,0.6,70,1.0371352785145889,-0.147682939868713
71,71,71,2,1,1,1,1,1,2,1,1,1,1,0,1,2,1,1,2.0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,2,2,1,0,1,0,1,1,1.0,2,0,1,1,1,1,1,0,1,1,1,0,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2.0,2.0,2,1,0.5,71,1.0309523809523808,-0.3145021240286426
